Date,IBM,AAPL,MSFT
2017-01-03,146.93508911132812,110.95387268066406,59.29480743408203
2017-01-04,148.75430297851562,110.82970428466797,59.029502868652344
2017-01-05,148.2621307373047,111.39330291748047,59.029502868652344
2017-01-06,148.9915771484375,112.63513946533203,59.54115676879883
2017-01-09,147.33934020996094,113.66682434082031,59.35165786743164
2017-01-10,145.46739196777344,113.78146362304688,59.332706451416016
2017-01-11,147.42721557617188,114.392822265625,59.872779846191406
2017-01-12,147.60302734375,113.9151840209961,59.32323455810547
2017-01-13,147.06689453125,113.71458435058594,59.408504486083984
2017-01-17,147.55026245117188,114.63165283203125,59.24742889404297
2017-01-18,146.59230041503906,114.62208557128906,59.21900939941406
2017-01-19,146.60110473632812,114.4214859008789,59.029502868652344
2017-01-20,149.88800048828125,114.63165283203125,59.4464111328125
2017-01-23,150.30987548828125,114.70806121826172,59.65485382080078
2017-01-24,154.58985900878906,114.60298156738281,60.18546676635742
2017-01-25,156.69029235839844,116.42753601074219,60.33706283569336
2017-01-26,157.01547241210938,116.48485565185547,60.89608383178711
2017-01-27,155.8202362060547,116.49441528320312,62.326820373535156
2017-01-30,154.50201416015625,116.18870544433594,61.710941314697266
2017-01-31,153.37705993652344,115.92122650146484,61.256141662597656
2017-02-01,153.17489624023438,122.99018859863281,60.2423095703125
2017-02-02,153.42979431152344,122.78004455566406,59.85383224487305
2017-02-03,154.51954650878906,123.30543518066406,60.33706283569336
2017-02-06,154.55467224121094,124.46131134033203,60.29916000366211
2017-02-07,156.83973693847656,125.64580535888672,60.10017776489258
2017-02-08,156.05136108398438,126.13301849365234,60.014915466308594
2017-02-09,156.97262573242188,127.04444885253906,60.697113037109375
2017-02-10,158.2747039794922,126.7566146850586,60.64026641845703
2017-02-13,158.87705993652344,127.87910461425781,61.322471618652344
2017-02-14,159.55911254882812,129.53890991210938,61.55125045776367
2017-02-15,160.93211364746094,130.00901794433594,61.51310729980469
2017-02-16,160.71063232421875,129.85549926757812,61.50357437133789
2017-02-17,160.03744506835938,130.2105255126953,61.598915100097656
2017-02-21,159.67430114746094,131.15072631835938,61.47498321533203
2017-02-22,160.46263122558594,131.54405212402344,61.35105895996094
2017-02-23,160.9055633544922,130.98760986328125,61.598915100097656
2017-02-24,160.63980102539062,131.1123504638672,61.598915100097656
2017-02-27,158.9124755859375,131.37136840820312,61.22714614868164
2017-02-28,159.28453063964844,131.428955078125,60.98883056640625
2017-03-01,161.17129516601562,134.1152801513672,61.90395736694336
2017-03-02,159.9134521484375,133.31893920898438,61.01742935180664
2017-03-03,159.48825073242188,134.10565185546875,61.24620819091797
2017-03-06,159.86032104492188,133.6835174560547,61.2652702331543
2017-03-07,159.78057861328125,133.85623168945312,61.38919448852539
2017-03-08,158.95677185058594,133.35731506347656,61.95161056518555
2017-03-09,156.94601440429688,133.05032348632812,61.70376205444336
2017-03-10,157.52178955078125,133.49166870117188,61.894412994384766
2017-03-13,156.30824279785156,133.5491943359375,61.68470001220703
2017-03-14,155.65274047851562,133.34776306152344,61.39873123168945
2017-03-15,155.7324676513672,134.75808715820312,61.722843170166016
2017-03-16,156.99913024902344,134.9787139892578,61.61796951293945
2017-03-17,155.59075927734375,134.30715942382812,61.83722686767578
2017-03-20,155.63504028320312,135.7174835205078,61.894412994384766
2017-03-21,154.02288818359375,134.16322326660156,61.208072662353516
2017-03-22,154.8201141357422,135.67909240722656,61.989742279052734
2017-03-23,154.85556030273438,135.19937133789062,61.83722686767578
2017-03-24,153.9785919189453,134.93075561523438,61.94208526611328
2017-03-27,153.92544555664062,135.16102600097656,62.056461334228516
2017-03-28,154.58091735839844,137.9624786376953,62.237579345703125
2017-03-29,154.07603454589844,138.2694854736328,62.40916061401367
2017-03-30,154.00515747070312,138.08718872070312,62.63795852661133
2017-03-31,154.253173828125,137.8281707763672,62.78093338012695
2017-04-03,154.5720672607422,137.86654663085938,62.48543167114258
2017-04-04,154.5897979736328,138.89312744140625,62.65702438354492
2017-04-05,153.13706970214844,138.17355346679688,62.494956970214844
2017-04-06,152.7561798095703,137.8281707763672,62.65702438354492
2017-04-07,152.48159790039062,137.52114868164062,62.60935592651367
2017-04-10,151.64892578125,137.35806274414062,62.46636199951172
2017-04-11,151.09976196289062,135.88058471679688,62.418704986572266
2017-04-12,151.1705780029297,136.0436553955078,62.180389404296875
2017-04-13,150.16964721679688,135.32415771484375,61.91347885131836
2017-04-17,151.5603485107422,136.07244873046875,62.418704986572266
2017-04-18,150.63027954101562,135.46803283691406,62.33291244506836
2017-04-19,143.22496032714844,134.9691162109375,61.999271392822266
2017-04-20,143.76531982421875,136.65771484375,62.437774658203125
2017-04-21,142.0645751953125,136.49459838867188,63.295692443847656
2017-04-24,142.39230346679688,137.8090057373047,64.37285614013672
2017-04-25,142.07347106933594,138.66285705566406,64.74464416503906
2017-04-26,141.78111267089844,137.84735107421875,64.6588363647461
2017-04-27,142.01144409179688,137.95286560058594,65.07825469970703
2017-04-28,141.98484802246094,137.8185577392578,65.25936126708984
2017-05-01,140.700439453125,140.629638671875,66.16497039794922
2017-05-02,140.93075561523438,141.5218963623047,66.06010437011719
2017-05-03,140.51441955566406,141.09014892578125,65.85040283203125
2017-05-04,140.88645935058594,140.58164978027344,65.593017578125
2017-05-05,137.34326171875,142.9130096435547,65.77413177490234
2017-05-08,136.8781280517578,146.79861450195312,65.71694946289062
2017-05-09,136.05523681640625,147.73880004882812,65.81226348876953
2017-05-10,135.28604125976562,147.03846740722656,66.06963348388672
2017-05-11,134.74935913085938,148.31008911132812,65.25936126708984
